                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6127,                 1.0442,                 1.5557,                0.82167,                0.23814,                0.22096,                0.11476,                 1.6071,                0.92259,                 1.6843,             0.00048074,             0.00048074,             0.00048074
                     35,                 1.6075,                 1.0094,                 1.5371,                0.50405,                0.41333,                0.23387,                0.13336,                 1.5053,                0.92307,                  1.617,             0.00047367,             0.00047367,             0.00047367
                     36,                 1.6005,                 1.0032,                 1.5491,                 0.5262,                0.21117,                 0.2117,                0.11523,                 1.5965,                 0.9771,                 1.6766,              0.0004666,              0.0004666,              0.0004666
                     37,                 1.6028,                 1.0012,                   1.53,                0.56364,                 0.2431,                0.24456,                0.15639,                 1.4838,                0.91875,                 1.5897,             0.00045953,             0.00045953,             0.00045953
                     38,                 1.5997,                 0.9846,                 1.5441,                0.85994,                0.17665,                0.22794,                0.12284,                 1.5134,                0.93176,                 1.6117,             0.00045246,             0.00045246,             0.00045246
                     39,                 1.5792,                0.97571,                 1.5333,                0.93764,                 0.1704,                0.23762,                0.14119,                  1.531,                0.89294,                  1.618,             0.00044539,             0.00044539,             0.00044539
                     40,                 1.5727,                0.97406,                  1.518,                0.52027,                 0.3554,                0.24856,                0.13661,                 1.5697,                0.92355,                 1.6504,             0.00043832,             0.00043832,             0.00043832
                     41,                  1.561,                0.98401,                 1.5048,                0.56961,                0.35048,                0.29415,                0.15166,                 1.5523,                0.87141,                  1.641,             0.00043126,             0.00043126,             0.00043126
                     42,                 1.5677,                0.96682,                 1.5217,                0.54739,                0.30184,                0.27233,                0.16305,                 1.5456,                0.88168,                 1.6367,             0.00042419,             0.00042419,             0.00042419
                     43,                 1.5674,                0.95886,                 1.5352,                 0.6238,                0.35366,                0.24579,                0.13775,                 1.5691,                0.89619,                 1.6483,             0.00041712,             0.00041712,             0.00041712
                     44,                 1.5746,                0.97364,                 1.5316,                0.56224,                0.21651,                 0.2147,                0.11986,                 1.5829,                0.85633,                  1.665,             0.00041005,             0.00041005,             0.00041005
                     45,                 1.5604,                0.95554,                 1.5057,                0.52082,                0.32763,                0.23063,                0.12978,                 1.4911,                0.87227,                 1.5907,             0.00040298,             0.00040298,             0.00040298
                     46,                 1.5478,                0.94012,                 1.5055,                0.50509,                0.35274,                0.23736,                0.13049,                 1.6119,                0.90019,                 1.6772,             0.00039591,             0.00039591,             0.00039591
                     47,                 1.5558,                0.93984,                 1.5157,                0.51466,                0.41051,                0.27644,                0.13826,                 1.5338,                0.85147,                 1.6227,             0.00038884,             0.00038884,             0.00038884
                     48,                 1.5704,                0.93971,                 1.5077,                0.36409,                0.35836,                0.25972,                0.15472,                 1.5246,                0.88126,                 1.6035,             0.00038178,             0.00038178,             0.00038178
                     49,                  1.542,                0.92833,                 1.5062,                0.58697,                0.35977,                0.29204,                0.16275,                 1.5334,                0.86612,                 1.6186,             0.00037471,             0.00037471,             0.00037471
                     50,                 1.5262,                0.90747,                 1.4851,                 0.6229,                0.29997,                0.26464,                0.16513,                 1.5148,                  0.855,                 1.6083,             0.00036764,             0.00036764,             0.00036764
                     51,                  1.543,                0.92197,                 1.5106,                0.53641,                0.24132,                0.21386,                0.11858,                 1.5344,                 0.8676,                 1.6267,             0.00036057,             0.00036057,             0.00036057
                     52,                 1.5211,                0.90065,                 1.4891,                 0.3503,                0.36392,                0.23068,                0.13014,                 1.5286,                0.85855,                 1.6074,              0.0003535,              0.0003535,              0.0003535
                     53,                 1.5146,                0.89795,                 1.4978,                0.50567,                0.51598,                0.38308,                0.22371,                 1.5497,                0.83987,                 1.6288,             0.00034643,             0.00034643,             0.00034643
                     54,                   1.53,                0.89716,                 1.5021,                0.61073,                0.29391,                 0.2719,                0.16108,                 1.5794,                0.87421,                 1.6437,             0.00033936,             0.00033936,             0.00033936
                     55,                 1.5326,                0.91068,                 1.4809,                0.47009,                0.54825,                0.32329,                0.18813,                 1.5514,                0.84626,                 1.6248,              0.0003323,              0.0003323,              0.0003323
                     56,                 1.5222,                0.91066,                 1.4863,                0.51565,                 0.4314,                0.28459,                0.17486,                 1.5207,                0.86936,                 1.6177,             0.00032523,             0.00032523,             0.00032523
                     57,                 1.5108,                0.89498,                 1.4555,                 0.5209,                0.41769,                0.24096,                0.12987,                  1.538,                0.87891,                 1.6264,             0.00031816,             0.00031816,             0.00031816
                     58,                 1.5012,                0.88307,                 1.4669,                0.38318,                0.34151,                0.27885,                0.15437,                 1.5191,                0.88174,                 1.6055,             0.00031109,             0.00031109,             0.00031109
                     59,                 1.4962,                0.88074,                   1.47,                0.54233,                0.38992,                0.25049,                0.14781,                 1.5576,                0.86227,                 1.6502,             0.00030402,             0.00030402,             0.00030402
                     60,                 1.4935,                0.88565,                 1.4648,                0.53727,                0.26104,                0.25188,                0.14427,                 1.5464,                 0.8119,                 1.6281,             0.00029695,             0.00029695,             0.00029695
                     61,                 1.5034,                0.85442,                 1.4506,                0.50188,                0.27999,                0.27368,                0.15598,                 1.4979,                0.81362,                 1.5916,             0.00028988,             0.00028988,             0.00028988
                     62,                 1.4823,                0.87892,                 1.4597,                0.57993,                0.35977,                 0.2733,                0.16119,                 1.5079,                0.81039,                 1.6065,             0.00028282,             0.00028282,             0.00028282
                     63,                 1.5027,                0.86057,                 1.4615,                 0.4037,                0.36849,                0.24077,                0.13461,                 1.5482,                0.84281,                 1.6238,             0.00027575,             0.00027575,             0.00027575
                     64,                 1.4789,                0.88184,                 1.4674,                0.54222,                0.24281,                 0.2529,                0.14469,                 1.5341,                0.83937,                 1.6272,             0.00026868,             0.00026868,             0.00026868
                     65,                 1.4896,                0.89285,                 1.4638,                0.63426,                 0.3177,                0.29074,                0.18105,                 1.4973,                0.85468,                 1.5974,             0.00026161,             0.00026161,             0.00026161
                     66,                 1.4841,                0.86681,                 1.4623,                0.53187,                 0.3814,                0.24721,                 0.1411,                 1.5371,                0.85464,                 1.6179,             0.00025454,             0.00025454,             0.00025454
                     67,                 1.4639,                 0.8594,                  1.452,                 0.6188,                0.36581,                 0.2781,                0.16424,                 1.5756,                0.82621,                 1.6382,             0.00024747,             0.00024747,             0.00024747
                     68,                 1.4873,                0.86559,                 1.4705,                0.36562,                0.35977,                0.23331,                0.13657,                  1.551,                0.81201,                 1.6196,              0.0002404,              0.0002404,              0.0002404
                     69,                 1.4665,                0.84771,                  1.452,                0.36004,                0.53205,                0.27164,                0.15288,                 1.5314,                0.86517,                 1.6188,             0.00023334,             0.00023334,             0.00023334
                     70,                   1.47,                0.83381,                 1.4535,                 0.5402,                0.28856,                 0.2575,                 0.1553,                 1.5236,                0.80828,                 1.6027,             0.00022627,             0.00022627,             0.00022627
                     71,                 1.4892,                0.85666,                 1.4544,                0.50357,                0.37425,                0.30945,                0.17187,                 1.5294,                0.84186,                 1.6125,              0.0002192,              0.0002192,              0.0002192
