                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4812,                 4.2003,                 3.3402,                0.12215,                 0.1285,                0.07459,                0.02118,                 2.9734,                 3.1859,                 2.5545,             0.00055312,             0.00055312,             0.00055312
                      2,                 2.7015,                 2.5236,                 2.1648,                0.50448,                0.38687,                0.40793,                0.13432,                 2.2612,                 2.2009,                 2.0316,             0.00074289,             0.00074289,             0.00074289
                      3,                 2.4228,                 2.0652,                 1.9377,                0.66116,                0.54176,                0.56557,                 0.1928,                 2.3779,                 1.7296,                 2.0083,             0.00056591,             0.00056591,             0.00056591
    
