                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1611,                 6.9233,                 2.5266,                0.23616,                0.27607,                0.15655,                 0.0319,                    3.1,                  3.997,                 1.9799,             0.00066366,             0.00066366,             0.00066366
                      2,                 2.6104,                 2.8626,                  1.549,                0.33196,                0.34843,                0.26047,                0.07876,                 2.5525,                 2.9435,                 1.5695,              0.0013172,              0.0013172,              0.0013172
                      3,                 2.2838,                 2.1441,                 1.3935,                0.69957,                0.55689,                0.60359,                0.25255,                 1.9585,                 2.0664,                 1.3115,              0.0019575,              0.0019575,              0.0019575
