                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2615,                 4.8824,                 4.0871,                  6e-05,                0.08333,                0.00049,                0.00012,                 5.3516,                 5.2372,                 4.3852,             0.00023595,             0.00023595,             0.00023595
                      2,                 3.1988,                 3.3728,                 3.0732,                0.87178,                0.05457,                0.03266,                0.00932,                 2.7321,                 3.5227,                 2.8951,             0.00031755,             0.00031755,             0.00031755
                      3,                 2.7718,                 2.9153,                 2.5848,                0.89028,                0.05694,                0.05205,                0.01723,                 2.3748,                 2.2649,                 2.5544,             0.00024206,             0.00024206,             0.00024206
